time,open,high,low,close,volume
2020-02-29 09:57:00,225.57,225.63,225.57,225.62,33.69673042
2020-02-29 09:56:00,225.52,225.57,225.52,225.57,6.09959998
2020-02-29 09:55:00,225.62,225.62,225.46,225.48,20.8792035
2020-02-29 09:54:00,225.69,225.73,225.69,225.73,4.43478646
2020-02-29 09:53:00,225.62,225.94,225.39,225.84,162.27601599
2020-02-29 09:52:00,225.75,225.75,225.73,225.73,25.60978349
2020-02-29 09:51:00,225.77,225.82,225.75,225.75,17.98689716
2020-02-29 09:50:00,225.89,225.89,225.84,225.85,7.77587055
2020-02-29 09:49:00,226.22,226.22,226.03,226.03,8.2536912
2020-02-29 09:48:00,226.19,226.23,226.19,226.22,11.14352467
2020-02-29 09:47:00,226.05,226.2,225.95,226.2,11.74125393
2020-02-29 09:46:00,225.74,225.95,225.73,225.75,10.58875411
2020-02-29 09:45:00,226.2,226.2,225.95,225.95,57.53980672
2020-02-29 09:44:00,226.16,226.2,226.16,226.19,95.16793891
2020-02-29 09:43:00,225.7,226.18,225.7,226.18,8.94866941
2020-02-29 09:42:00,225.77,225.83,225.77,225.82,11.98472285
2020-02-29 09:41:00,225.93,226.16,225.76,225.76,34.12102175
2020-02-29 09:40:00,226.19,226.19,226.05,226.05,12.7667022
2020-02-29 09:39:00,226.28,226.28,226.13,226.2,38.50770343
2020-02-29 09:38:00,226.27,226.39,226.08,226.21,43.06293537
2020-02-29 09:37:00,226.27,226.28,226.27,226.27,5.40598579
2020-02-29 09:36:00,226.32,226.41,226.27,226.31,15.21331469
2020-02-29 09:35:00,226.37,226.57,226.37,226.46,33.23579395
2020-02-29 09:34:00,226.76,226.76,226.35,226.35,10.88409029
2020-02-29 09:33:00,226.59,226.84,226.56,226.76,17.17268991
2020-02-29 09:32:00,226.55,226.9,226.45,226.9,20.56256759
2020-02-29 09:31:00,225.93,226.56,225.93,226.56,7.98573395
2020-02-29 09:30:00,225.82,225.93,225.82,225.93,29.70870103
2020-02-29 09:29:00,226,226.03,225.82,225.82,61.72190361
2020-02-29 09:28:00,226.29,226.45,226.05,226.05,18.20518117
2020-02-29 09:27:00,226.07,226.21,225.95,226.21,18.96421765
2020-02-29 09:26:00,226.33,226.45,226.32,226.32,24.40037252
2020-02-29 09:25:00,225.88,226.32,225.86,226.32,24.3820706
2020-02-29 09:24:00,225.82,225.82,225.82,225.82,54.18997133
2020-02-29 09:23:00,226.14,226.14,225.94,225.94,6.27558919
2020-02-29 09:22:00,226.13,226.19,226.06,226.06,1.60402533
2020-02-29 09:21:00,225.82,226.13,225.82,226.13,53.94717777
2020-02-29 09:20:00,225.97,226,225.82,225.82,13.74928622
2020-02-29 09:19:00,226.13,226.13,225.97,226.06,2.10355275
2020-02-29 09:18:00,226.25,226.25,225.1,226,1242.36062663
2020-02-29 09:17:00,226.86,226.86,226.2,226.3,58.98013445
2020-02-29 09:16:00,227.26,227.37,226.95,226.95,21.54925355
2020-02-29 09:15:00,226.86,227.18,226.85,227.15,116.30326369
2020-02-29 09:14:00,226.9,226.9,226.81,226.86,44.40789113
2020-02-29 09:13:00,226.59,226.89,226.58,226.89,22.38313326
2020-02-29 09:12:00,226.6,226.77,226.41,226.65,56.17281177
2020-02-29 09:11:00,227,227,226.13,226.6,207.90771913
2020-02-29 09:10:00,227.52,227.52,226.67,227,661.91717985
2020-02-29 09:09:00,227.72,227.91,227.57,227.57,32.09783833
2020-02-29 09:08:00,228.01,228.01,227.73,227.74,102.20825231
2020-02-29 09:07:00,228.18,228.18,228.01,228.01,12.84474026
2020-02-29 09:06:00,228.18,228.26,228.08,228.25,28.91713308
2020-02-29 09:05:00,228.24,228.26,228.08,228.25,36.20482124
2020-02-29 09:04:00,228.43,228.48,228.25,228.25,4.28695269
2020-02-29 09:03:00,228.26,228.63,228.26,228.38,7.94519752
2020-02-29 09:02:00,228.39,228.39,228.25,228.27,3.17742276
